Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,OWS/48,DWS/48,Shot%,Team Mar,Team MP,Team Gm,Year 3PAr,Team TS%,Tm USG,Tm TS W/O Plyr,Reb/Vers,Defense,Val/Shot,Offense,MPG + Int,RAW SPM,%Min,RAW Contrib,Tm Sum,Tm Adj,BPM,StdErr,Contrib,VORP,Reb/Vers,Val/Shot,Offense,Defense,MPG,Raw OBPM,Contrib,Tm Ortg,Tm Sum,Tm Adj,Tm DRtg,OBPM,OStdErr,Ocontrib,OVORP,DBPM,DStdErr,Dcontrib,DVORP,Sum SPM,%Min,MPG,ReMPG,BPM,Contrib,VORP,VORP-Gm,O-BPM,Ocontrib,OVORP,"OVORP
Gm",D-BPM,Dcontrib,DVORP,"DVORP
Gm",Exp BPM,"TrueTalent
BPM","Exp%
Min","TrueTalent
VORP",TrueTimeVORP,WORP,O-WORP,D-WORP,Adjusted WORP,Estimated Position,BBRef Pos,Age on Feb 1,Yrs Experience,Height,Weight,Rounded Position,Rounded Age,Playoffs
2015,HOU,James Harden,25,81,2981,26.7,0.605,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,12.2,4.2,16.4,0.265,7.4,1,8.4,7.8,0.197,0.068,26.6,4.01,19804,82,0.268,0.548,337012,0.531,4.39,1.24,0.56,1.78,1.33,8.74,0.75,6.58,6.44,-0.33,8.4,2.1,6.3,7.8,1.1,0.6,5.3,0.3,0.7,8.1,6.1,1.4,5.1,-0.7,2.6,7.4,1.4,5.6,6.9,1,1.5,0.8,1,6.4,0.8,36.8,35.1,8.4,6.3,7.8,7.9,7.4,5.6,6.9,6.9,1,0.8,1,1,2.4,5.7,0.73,5.6,7.5,21.2,18.5,2.7,20.4,1.8,2,25.44,5,77,220,2,26,Y
2015,MIN,Andrew Wiggins,19,82,2969,13.9,0.517,0.111,0.41,5,9.5,7.2,9.8,1.5,1.3,11.7,22.6,2.1,0,2.1,0.034,-0.5,-1.8,-2.3,-0.2,0.034,0,20,-8.52,19787,82,0.268,0.517,341855,0.518,-0.99,-0.3,-0.09,-0.65,1.26,-0.68,0.75,-0.51,-2.34,-1.58,-2.3,2.1,-1.7,-0.2,0,0.2,-0.9,0,0.7,-0.1,0,-2.5,-0.8,-0.4,-6.1,-0.5,1.4,-0.4,0.9,-1.8,1.5,-1.3,-1.1,1.3,0.8,36.2,34.5,-2.3,-1.7,-0.2,-0.2,-0.5,-0.4,0.9,0.9,-1.8,-1.3,-1.1,-1.1,0.5,-1,0.36,0.4,-0.1,-0.5,2.4,-3,-0.3,2.6,2,19.94,0,80,199,3,20,N
2015,HOU,Trevor Ariza,29,82,2930,12.7,0.539,0.61,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,2.7,3.9,6.6,0.108,0.6,1.3,1.9,2.9,0.044,0.064,14.4,4.01,19804,82,0.268,0.548,337012,0.55,-0.99,0.65,0.06,1.37,1.21,2.24,0.74,1.66,6.44,-0.33,1.9,2.1,1.4,2.9,-0.7,0.4,0.6,0.4,0.6,1.3,1,1.4,5.1,-0.7,2.6,0.6,1.4,0.5,1.7,1.3,1.5,0.9,1.2,-0.6,0.7,35.7,34.1,1.9,1.4,2.9,2.9,0.6,0.5,1.7,1.7,1.3,0.9,1.2,1.2,2.2,2.1,0.73,2.9,2.8,7.8,4.7,3.2,7.7,2.9,3,29.59,10,80,215,3,30,Y
2015,POR,Damian Lillard,24,82,2925,20.7,0.56,0.421,0.293,1.8,11.8,6.9,29,1.7,0.5,12.6,26.9,7.3,3.3,10.6,0.174,5,0,5.1,5.2,0.12,0.054,23.5,4.69,19856,82,0.268,0.544,347001,0.54,2.45,-0.48,0.37,0.24,1.2,3.42,0.74,2.52,-2.66,1.66,5.1,2.1,3.7,5.2,0.4,0.5,3.1,0.1,0.6,4.8,3.5,2.3,1.5,0.3,2.4,5,1.4,3.7,5,0,1.5,0,0.3,5,0.7,35.7,34,5.1,3.7,5.2,5.2,5,3.7,5,5,0,0,0.3,0.3,2.3,3.8,0.73,4.2,5.1,14.1,13.4,0.7,13.9,1.2,1,24.55,2,75,195,1,25,Y
2015,LAC,Chris Paul,29,82,2857,26,0.596,0.298,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,12.9,3.2,16.1,0.27,7.5,0,7.5,6.9,0.216,0.054,20.7,7.21,19730,82,0.268,0.565,348865,0.559,5.71,0.85,0.68,-1.2,1.1,6.46,0.72,4.68,3.45,1.04,7.5,2.1,5.4,6.9,1.5,0.6,3.6,0.5,0.6,6.8,5,6.9,5.2,0.6,0.3,7.5,1.4,5.4,6.6,0,1.5,0,0.3,7.4,0.7,34.8,33.2,7.5,5.4,6.9,6.9,7.5,5.4,6.6,6.6,0,0,0.3,0.3,2.5,5.2,0.73,5.2,6.9,18.6,17.9,0.7,18.6,1,1,29.74,9,72,175,1,30,Y
2015,WAS,John Wall,24,79,2837,19.9,0.523,0.186,0.31,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,3.6,4.2,7.8,0.132,2.4,1.1,3.5,3.9,0.061,0.071,21.2,0.25,19956,82,0.268,0.534,343082,0.537,5.34,0.95,0.52,-4.64,1.22,2.87,0.71,2.04,-2.93,0.65,3.5,2.1,2.5,3.9,1.3,0.5,-0.1,0.3,0.6,2.7,1.9,-2.1,-1.1,-0.3,2.3,2.4,1.4,1.7,2.9,1.1,1.5,0.8,1,1.3,0.7,35.9,34.2,3.5,2.5,3.9,4.1,2.4,1.7,2.9,3,1.1,0.8,1,1,1.7,2.7,0.73,3.4,4,10.6,7.9,2.7,10.8,1,1,24.41,4,76,195,1,24,Y
2015,LAC,DeAndre Jordan,26,82,2820,21,0.638,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,7.4,5.4,12.8,0.217,0.9,3.2,4.1,4.3,0.126,0.091,11.9,7.21,19730,82,0.268,0.565,348865,0.558,-2.79,1.88,-0.08,2.9,1.05,3.04,0.72,2.17,3.45,1.04,4.1,2.1,2.9,4.3,0,0.3,-0.3,-0.2,0.5,0.3,0.2,6.9,5.2,0.6,0.3,0.9,1.4,0.6,1.8,3.2,1.5,2.3,2.5,-2.3,0.7,34.4,32.8,4.1,2.9,4.3,4.3,0.9,0.6,1.8,1.8,3.2,2.3,2.5,2.5,2.4,3.3,0.73,3.9,4.4,11.7,5,6.7,11.9,5,5,26.53,6,83,265,5,27,Y
2015,PHO,Eric Bledsoe,25,81,2800,18.4,0.555,0.26,0.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,4.1,2.9,7,0.119,1.7,0.9,2.6,3.3,0.07,0.049,19.4,-0.37,19879,82,0.268,0.537,342976,0.534,3.03,0.65,0.3,-2.2,1.07,2.55,0.7,1.79,-0.79,0.07,2.6,2.1,1.8,3.3,0.7,0.4,0,0.3,0.6,1.9,1.4,-0.5,0.5,-0.2,0.1,1.7,1.4,1.2,2.4,0.9,1.5,0.6,0.8,0.8,0.7,34.6,32.9,2.6,1.8,3.3,3.3,1.7,1.2,2.4,2.4,0.9,0.6,0.8,0.8,1.4,2,0.73,2.9,3.3,8.8,6.5,2.3,9,1,1,25.15,4,73,190,1,25,N
2015,BRK,Joe Johnson,33,80,2791,14.1,0.523,0.329,0.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,2.6,1.5,4.1,0.07,0.9,-0.7,0.2,1.5,0.044,0.026,18,-3.31,19928,82,0.268,0.529,347023,0.529,0.32,-1.28,0.08,-0.12,1.1,0.02,0.7,0.01,-4.76,0.16,0.2,2.1,0.1,1.5,-0.3,0.3,0.5,-0.1,0.6,1,0.7,-1.3,-1.1,-0.1,-2,0.9,1.4,0.6,1.8,-0.7,1.5,-0.5,-0.3,1.6,0.7,34.9,33.2,0.2,0.1,1.5,1.6,0.9,0.6,1.8,1.9,-0.7,-0.5,-0.3,-0.3,1,0.6,0.59,1.5,1.3,4.1,4.9,-0.8,3.5,2.8,2,33.59,13,79,240,3,34,Y
2015,CLE,Kyrie Irving,22,75,2730,21.5,0.583,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,8.4,2,10.4,0.183,4.7,-1.4,3.3,3.7,0.148,0.035,23.1,4.39,19779,82,0.268,0.557,342773,0.551,1.01,0.21,0.29,0.34,1.27,2.82,0.69,1.95,2.75,0.5,3.3,2.1,2.3,3.7,0.3,0.5,2.6,0.2,0.7,4.3,2.9,5.5,4.5,0.4,-1.1,4.7,1.4,3.2,4.4,-1.4,1.5,-0.9,-0.7,6.1,0.7,36.4,34.6,3.3,2.3,3.7,4,4.7,3.2,4.4,4.8,-1.4,-0.9,-0.7,-0.8,2.4,2.9,0.73,3.5,3.9,9.9,11.9,-2,10.4,1.1,1,22.86,3,75,193,1,23,Y
