,G,3PAr,FTr,TOV_pct_,OWS,DBPM,OWS_p_48,DWS_p_48,Year_3PAr,Reb_p_Vers,Defense,Val_p_Shot,_pct_Min,RAW_Contrib,Tm_Sum,Reb_p_Vers_1,Defense_1,MPG,Tm_Sum_1,Tm_Adj_1,Tm_DRtg,OStdErr,Dcontrib_1,Production,ProddashGm,True_Salary,Adjusted_Production,Yrs_Experience,Playoffs
643,82,0.006999999999999999,0.209,17.9,4.1,-1.1,0.06,0.04,0.031,-0.2,-0.17,0.16,0.81,-1.05,3.95,-0.4,0.2,0.7,2.2,0.5,1.1,1.3,-1.1,5300000.0,5300000.0,9700000.0,4400000.0,2.0,1
644,81,0.008,0.285,10.2,2.1,0.4,0.031,0.063,0.031,-2.09,-0.13,-0.15,0.8,-0.61,-4.32,-0.8,-0.4,0.7,1.6,-0.8,-0.3,1.4,0.3,6900000.0,6900000.0,8600000.0,5500000.0,11.0,1
645,82,0.0,0.466,13.2,7.7,-0.9,0.11699999999999999,0.031,0.031,-2.01,-1.13,0.06,0.8,0.93,1.82,-1.0,-0.4,0.7,2.3,-0.1,-2.1,1.4,-0.7,10700000.0,10700000.0,11500000.0,9400000.0,0.0,0
646,82,0.001,0.344,15.7,9.5,2.3,0.146,0.081,0.031,2.27,1.04,0.23,0.79,4.94,3.95,0.3,-0.4,0.7,2.2,0.5,1.1,1.4,2.1,32900000.0,32900000.0,24500000.0,30200000.0,10.0,1
647,82,0.004,0.505,13.7,8.9,-0.8,0.13699999999999998,0.046,0.031,1.01,-0.4,-0.03,0.79,2.01,-1.01,2.0,-0.2,0.7,2.6,0.2,-2.7,1.4,-0.9,18600000.0,18600000.0,16300000.0,17200000.0,5.0,1
648,82,0.013000000000000001,0.172,9.7,6.7,-0.2,0.10400000000000001,0.05,0.031,-0.45,-0.26,-0.05,0.78,1.21,3.95,0.0,0.1,0.6,2.2,0.5,1.1,1.4,-0.2,15400000.0,15400000.0,15700000.0,14400000.0,5.0,1
649,82,0.10300000000000001,0.318,22.9,2.4,1.7,0.037000000000000005,0.057,0.031,4.86,2.3,0.34,0.77,3.29,1.82,1.3,0.8,0.6,2.3,-0.1,-2.1,1.4,1.4,21500000.0,21500000.0,17400000.0,20200000.0,1.0,0
650,82,0.09,0.509,19.5,5.2,-1.1,0.083,0.027000000000000003,0.031,1.95,-0.44,0.33,0.76,1.33,-1.89,0.8,0.0,0.6,0.0,-0.2,-1.7,1.4,-1.0,13400000.0,13400000.0,12900000.0,12900000.0,1.0,0
651,82,0.003,0.32799999999999996,17.3,4.3,3.1,0.069,0.066,0.031,2.95,-1.07,0.13,0.75,3.03,-4.32,1.0,-0.3,0.5,1.6,-0.8,-0.3,1.4,2.6,23200000.0,23200000.0,18000000.0,22500000.0,11.0,1
652,82,0.023,0.27399999999999997,9.5,7.2,0.5,0.11599999999999999,0.071,0.031,0.24,1.48,0.16,0.75,2.73,2.78,0.2,0.5,0.5,3.2,-0.6,3.8,1.4,0.3,22200000.0,22200000.0,18800000.0,21500000.0,4.0,1
653,82,0.098,0.24600000000000002,14.0,5.6,2.3,0.091,0.091,0.031,3.11,0.51,0.09,0.74,2.98,1.84,0.7,0.2,0.5,3.5,0.2,3.1,1.4,1.9,26300000.0,26300000.0,21700000.0,25600000.0,0.0,1
654,81,0.002,0.20600000000000002,10.6,5.5,-0.4,0.08900000000000001,0.031,0.031,-1.82,0.2,-0.05,0.74,1.16,1.82,-0.3,0.0,0.6,2.3,-0.1,-2.1,1.4,-0.4,11400000.0,11500000.0,11700000.0,10700000.0,2.0,0
655,82,0.008,0.47100000000000003,8.7,9.2,-1.1,0.15,0.038,0.031,-0.01,-0.62,0.1,0.74,2.6,0.54,0.0,-0.1,0.5,2.3,-0.9,-2.2,1.4,-0.8,16300000.0,16300000.0,13900000.0,16000000.0,9.0,0
656,81,0.043,0.358,12.6,3.0,1.2,0.049,0.071,0.031,0.54,0.77,-0.01,0.74,0.96,2.78,0.4,0.2,0.5,3.2,-0.6,3.8,1.4,0.8,13900000.0,14000000.0,14500000.0,13600000.0,3.0,1
657,78,0.053,0.306,10.3,9.3,-2.5,0.152,0.021,0.031,-0.97,-0.16,0.07,0.74,1.48,-1.04,-0.2,-0.1,0.6,1.4,0.5,-3.7,1.4,-2.0,15200000.0,16000000.0,14700000.0,14900000.0,7.0,1
658,82,0.036000000000000004,0.304,13.3,3.1,-1.9,0.051,0.022000000000000002,0.031,-0.53,-0.57,0.07,0.73,-0.83,5.23,-0.2,0.0,0.5,4.0,-0.7,-0.9,1.4,-1.6,-100000.0,-100000.0,3900000.0,400000.0,3.0,0
659,82,0.023,0.266,9.4,4.9,-0.1,0.081,0.062,0.031,-1.04,0.06,0.01,0.73,0.96,-1.36,0.0,0.2,0.5,1.1,-0.6,4.1,1.4,-0.3,15300000.0,15300000.0,14800000.0,15300000.0,2.0,1
660,80,0.023,0.5479999999999999,19.7,5.9,-0.9,0.099,0.049,0.031,0.44,-0.67,0.35,0.72,-0.92,1.84,-0.1,0.0,0.5,3.5,0.2,3.1,1.4,-0.8,7800000.0,8000000.0,11300000.0,7500000.0,8.0,1
661,81,0.003,0.342,21.9,4.0,0.5,0.067,0.048,0.031,1.22,-1.66,0.12,0.72,1.24,-1.22,0.3,-0.4,0.5,2.4,-0.3,-4.4,1.4,0.6,11200000.0,11300000.0,10200000.0,10200000.0,6.0,0
662,82,0.002,0.306,12.7,3.8,1.4,0.064,0.05,0.031,-0.2,1.1,0.03,0.72,2.13,-3.54,-0.1,0.4,0.5,-0.6,-0.6,-0.9,1.4,1.1,16700000.0,16700000.0,14000000.0,16900000.0,3.0,0
663,82,0.027000000000000003,0.185,11.6,2.0,-0.7,0.034,0.04,0.031,-2.46,-0.25,-0.06,0.71,-1.12,-0.32,-1.2,0.0,0.4,0.3,-0.5,1.0,1.4,-0.6,1900000.0,1900000.0,4400000.0,1600000.0,1.0,1
664,78,0.012,0.331,13.3,7.3,2.0,0.124,0.08900000000000001,0.031,3.36,2.04,0.21,0.71,4.87,2.97,1.5,0.3,0.5,1.0,-0.3,4.1,1.4,1.5,31200000.0,32800000.0,24300000.0,31900000.0,8.0,1
665,82,0.004,0.231,9.5,5.9,-1.2,0.10099999999999999,0.040999999999999995,0.031,-2.87,-0.73,-0.05,0.7,-0.24,-2.92,-0.9,-0.3,0.4,1.9,0.0,-1.1,1.4,-1.0,8600000.0,8600000.0,9200000.0,7800000.0,1.0,0
666,78,0.006999999999999999,0.259,13.5,3.4,-0.5,0.059000000000000004,0.034,0.031,0.77,-0.62,-0.09,0.71,0.26,-1.04,0.5,0.0,0.5,1.4,0.5,-3.7,1.4,-0.4,9300000.0,9700000.0,10200000.0,8700000.0,6.0,1
667,77,0.033,0.48700000000000004,20.9,6.2,2.0,0.106,0.07400000000000001,0.031,4.13,1.41,0.29,0.7,3.6,3.95,1.3,0.5,0.5,2.2,0.5,1.1,1.4,1.5,25600000.0,27200000.0,21700000.0,26400000.0,0.0,1
668,82,0.001,0.295,15.3,3.3,2.1,0.057,0.091,0.031,1.12,-0.73,0.02,0.7,1.05,2.78,-0.3,-0.3,0.4,3.2,-0.6,3.8,1.4,1.7,13900000.0,13900000.0,14200000.0,14200000.0,2.0,1
669,82,0.006999999999999999,0.396,14.5,3.5,0.7,0.059000000000000004,0.053,0.031,0.0,-0.27,-0.06,0.7,0.51,-1.89,0.0,-0.4,0.4,0.0,-0.2,-1.7,1.4,0.5,9100000.0,9100000.0,8600000.0,8100000.0,0.0,0
